error,category,name,url
<urlopen error [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time or established connection failed because connected host has failed to respond>,No AI-ML,fAndreuzzi/TUI-ConsoleLauncher,https://github.com/fAndreuzzi/TUI-ConsoleLauncher.git 
HTTP Error 404: Not Found,Applied,mubaidr/image-parsing,https://github.com/mubaidr/image-parsing.git 
HTTP Error 404: Not Found,Applied,Hsankesara/smart-meter,https://github.com/Hsankesara/smart-meter.git 
HTTP Error 404: Not Found,Applied,hudson-and-thames/presentations,https://github.com/hudson-and-thames/presentations.git 
HTTP Error 404: Not Found,No AI-ML,chengr28/Pcap_DNSProxy,https://github.com/chengr28/Pcap_DNSProxy.git 
HTTP Error 404: Not Found,Applied,ThousandMonkeysTypewriter/ContextToCode,https://github.com/ThousandMonkeysTypewriter/ContextToCode.git 
HTTP Error 404: Not Found,No AI-ML,bill1012/AdminEAP,https://github.com/bill1012/AdminEAP.git 
HTTP Error 404: Not Found,No AI-ML,izzyleung/ZhihuDailyPurify,https://github.com/izzyleung/ZhihuDailyPurify.git 
HTTP Error 404: Not Found,Applied,IBM/MAX-Facial-Recognizer,https://github.com/IBM/MAX-Facial-Recognizer.git 
HTTP Error 404: Not Found,No AI-ML,GoogleChrome/essential-image-optimization,https://github.com/GoogleChrome/essential-image-optimization.git 
HTTP Error 404: Not Found,Applied,IBM/MAX-Facial-Age-Estimator,https://github.com/IBM/MAX-Facial-Age-Estimator.git 
HTTP Error 404: Not Found,No AI-ML,Russell91/TensorBox,https://github.com/Russell91/TensorBox.git 
HTTP Error 404: Not Found,Applied,gineshidalgo99/openpose_caffe_train,https://github.com/gineshidalgo99/openpose_caffe_train.git 
HTTP Error 404: Not Found,Applied,Magisk-Modules-Repo/FDE,https://github.com/Magisk-Modules-Repo/FDE.git 
HTTP Error 404: Not Found,Applied,Accenture/ULAPPH-Cloud-Desktop,https://github.com/Accenture/ULAPPH-Cloud-Desktop.git 
HTTP Error 404: Not Found,Tool,stormcolor/gbrain,https://github.com/stormcolor/gbrain.git 
HTTP Error 404: Not Found,Applied,ThorstenHen/course_intro_to_ml,https://github.com/ThorstenHen/course_intro_to_ml.git 
HTTP Error 404: Not Found,Applied,morganmcg1/Projects,https://github.com/morganmcg1/Projects.git 
HTTP Error 404: Not Found,Applied,neptune-ml/neptune-examples,https://github.com/neptune-ml/neptune-examples.git 
HTTP Error 404: Not Found,No AI-ML,spotify/ios-streaming-sdk,https://github.com/spotify/ios-streaming-sdk.git 
HTTP Error 404: Not Found,Applied,leekyungmoon/WatchOUT,https://github.com/leekyungmoon/WatchOUT.git 
HTTP Error 404: Not Found,Applied,see--/P12-Semantic-Segmentation,https://github.com/see--/P12-Semantic-Segmentation.git 
HTTP Error 404: Not Found,Applied,vic64/nlpcraft,https://github.com/vic64/nlpcraft.git
1,Applied,daviddalpiaz/r4sl,https://github.com/daviddalpiaz/r4sl.git
1,Applied,aleju/imgaug,https://github.com/aleju/imgaug.git
<urlopen error [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time or established connection failed because connected host has failed to respond>,Applied,MuhammedBuyukkinaci/TensorFlow-Multiclass-Image-Classification-using-CNN-s,https://github.com/MuhammedBuyukkinaci/TensorFlow-Multiclass-Image-Classification-using-CNN-s.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,GabeWeiss/google-sorting-demo,https://github.com/GabeWeiss/google-sorting-demo.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,MoerkerkeLander/camera-feed-object-detector-tf-serve,https://github.com/MoerkerkeLander/camera-feed-object-detector-tf-serve.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,chrisPiemonte/url2vec,https://github.com/chrisPiemonte/url2vec.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,isayev/ASE_ANI,https://github.com/isayev/ASE_ANI.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,JustAnOwlz/Face-Denoising,https://github.com/JustAnOwlz/Face-Denoising.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,smike86/pasm-yolov3-Android,https://github.com/smike86/pasm-yolov3-Android.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,manideep2510/eye-in-the-sky,https://github.com/manideep2510/eye-in-the-sky.git 
<urlopen error [Errno 11001] getaddrinfo failed>,Applied,HYU-AILAB/ai-seminar,https://github.com/HYU-AILAB/ai-seminar.git 
