error,category,name,url
HTTP Error 404: Not Found,Applied,idorce/sentiment-analysis-ccf-bdci,https://github.com/idorce/sentiment-analysis-ccf-bdci.git
HTTP Error 404: Not Found,Tool,hadoopsubmarine/hadoop-submarine-ecosystem,https://github.com/hadoopsubmarine/hadoop-submarine-ecosystem.git
HTTP Error 404: Not Found,Applied,annotationtool/labelannotator,https://github.com/annotationtool/labelannotator.git
HTTP Error 404: Not Found,Applied,rrfaria/IQOPTION-ML-TRADER,https://github.com/rrfaria/IQOPTION-ML-TRADER.git
HTTP Error 404: Not Found,Applied,IBM/MAX-Image-Completer,https://github.com/IBM/MAX-Image-Completer.git
HTTP Error 404: Not Found,Applied,stevhliu/airbnbListingDescriptions,https://github.com/stevhliu/airbnbListingDescriptions.git
HTTP Error 404: Not Found,Applied,IBM/financial-risk-management-using-machine-learning-on-mainframes,https://github.com/IBM/financial-risk-management-using-machine-learning-on-mainframes.git
HTTP Error 404: Not Found,Applied,IBM/MAX-Facial-Emotion-Classifier,https://github.com/IBM/MAX-Facial-Emotion-Classifier.git
HTTP Error 404: Not Found,No AI-ML,b3log/xiaov,https://github.com/b3log/xiaov.git
HTTP Error 404: Not Found,No AI-ML,TryGhost/Ghost-Desktop,https://github.com/TryGhost/Ghost-Desktop.git
HTTP Error 404: Not Found,No AI-ML,shell909090/goproxy,https://github.com/shell909090/goproxy.git
HTTP Error 404: Not Found,No AI-ML,shell909090/goproxy,https://github.com/shell909090/goproxy.git
HTTP Error 404: Not Found,Applied,twintechlabs/iomodel,https://github.com/twintechlabs/iomodel.git
HTTP Error 404: Not Found,Applied,MUSA-620-Spring-2019/week-1,https://github.com/MUSA-620-Spring-2019/week-1.git
HTTP Error 404: Not Found,Applied,AceCoooool/pytorch-cv,https://github.com/AceCoooool/pytorch-cv.git
HTTP Error 404: Not Found,Applied,tpawelski/hate-speech-detection,https://github.com/tpawelski/hate-speech-detection.git
HTTP Error 404: Not Found,No AI-ML,FutunnOpen/futuquant,https://github.com/FutunnOpen/futuquant.git
HTTP Error 404: Not Found,No AI-ML,j-proxy/iossos,https://github.com/j-proxy/iossos.git
HTTP Error 404: Not Found,No AI-ML,kaepora/miniLock,https://github.com/kaepora/miniLock.git
HTTP Error 404: Not Found,Applied,Clarifai/clarifai-apple-sdk,https://github.com/Clarifai/clarifai-apple-sdk.git
HTTP Error 404: Not Found,Applied,ZHANGHeng19931123/seq_nms_yolo,https://github.com/ZHANGHeng19931123/seq_nms_yolo.git
HTTP Error 404: Not Found,Applied,feravolt/FeraDroid-Engine,https://github.com/feravolt/FeraDroid-Engine.git
HTTP Error 404: Not Found,No AI-ML,xiyouMc/WebHubBot,https://github.com/xiyouMc/WebHubBot.git
HTTP Error 404: Not Found,Tool,idylnlp/idylnlp,https://github.com/idylnlp/idylnlp.git
HTTP Error 404: Not Found,Applied,mubaidr/image-parsing,https://github.com/mubaidr/image-parsing.git
HTTP Error 404: Not Found,Applied,Hsankesara/smart-meter,https://github.com/Hsankesara/smart-meter.git
HTTP Error 404: Not Found,Applied,hudson-and-thames/presentations,https://github.com/hudson-and-thames/presentations.git
HTTP Error 404: Not Found,No AI-ML,chengr28/Pcap_DNSProxy,https://github.com/chengr28/Pcap_DNSProxy.git
HTTP Error 404: Not Found,Applied,ThousandMonkeysTypewriter/ContextToCode,https://github.com/ThousandMonkeysTypewriter/ContextToCode.git
HTTP Error 404: Not Found,No AI-ML,bill1012/AdminEAP,https://github.com/bill1012/AdminEAP.git
HTTP Error 404: Not Found,No AI-ML,izzyleung/ZhihuDailyPurify,https://github.com/izzyleung/ZhihuDailyPurify.git
HTTP Error 404: Not Found,Applied,IBM/MAX-Facial-Recognizer,https://github.com/IBM/MAX-Facial-Recognizer.git
HTTP Error 404: Not Found,No AI-ML,GoogleChrome/essential-image-optimization,https://github.com/GoogleChrome/essential-image-optimization.git
HTTP Error 404: Not Found,Applied,IBM/MAX-Facial-Age-Estimator,https://github.com/IBM/MAX-Facial-Age-Estimator.git
HTTP Error 404: Not Found,No AI-ML,Russell91/TensorBox,https://github.com/Russell91/TensorBox.git
HTTP Error 404: Not Found,Applied,gineshidalgo99/openpose_caffe_train,https://github.com/gineshidalgo99/openpose_caffe_train.git
HTTP Error 404: Not Found,Applied,Magisk-Modules-Repo/FDE,https://github.com/Magisk-Modules-Repo/FDE.git
HTTP Error 404: Not Found,Applied,Accenture/ULAPPH-Cloud-Desktop,https://github.com/Accenture/ULAPPH-Cloud-Desktop.git
HTTP Error 404: Not Found,Tool,stormcolor/gbrain,https://github.com/stormcolor/gbrain.git
HTTP Error 404: Not Found,Applied,ThorstenHen/course_intro_to_ml,https://github.com/ThorstenHen/course_intro_to_ml.git
HTTP Error 404: Not Found,Applied,morganmcg1/Projects,https://github.com/morganmcg1/Projects.git
HTTP Error 404: Not Found,Applied,neptune-ml/neptune-examples,https://github.com/neptune-ml/neptune-examples.git
HTTP Error 404: Not Found,No AI-ML,spotify/ios-streaming-sdk,https://github.com/spotify/ios-streaming-sdk.git
HTTP Error 404: Not Found,Applied,leekyungmoon/WatchOUT,https://github.com/leekyungmoon/WatchOUT.git
HTTP Error 404: Not Found,Applied,see--/P12-Semantic-Segmentation,https://github.com/see--/P12-Semantic-Segmentation.git
HTTP Error 404: Not Found,Applied,vic64/nlpcraft,https://github.com/vic64/nlpcraft.git
HTTP Error 404: Not Found,Applied,Synopsis/Synopsis-Analyzer,https://github.com/Synopsis/Synopsis-Analyzer.git
HTTP Error 404: Not Found,Applied,xrOxygen/xray-oxygen,https://github.com/xrOxygen/xray-oxygen.git
HTTP Error 404: Not Found,No AI-ML,artoolkit/jsartoolkit5,https://github.com/artoolkit/jsartoolkit5.git
HTTP Error 404: Not Found,Applied,Kidsense/Vocally-Android-Demo,https://github.com/Kidsense/Vocally-Android-Demo.git
HTTP Error 404: Not Found,Applied,Apollo2Mars/Algorithms-of-Artificial-Intelligence,https://github.com/Apollo2Mars/Algorithms-of-Artificial-Intelligence.git
HTTP Error 404: Not Found,Applied,kevind992/Artificial-Intelligent-based-Museum-System,https://github.com/kevind992/Artificial-Intelligent-based-Museum-System.git
HTTP Error 404: Not Found,No AI-ML,brave/browser-ios,https://github.com/brave/browser-ios.git
